	roi	task	ang_dist_bin	subj	beta	vexpl	norm	beta_norm	beta_adj
0	1.0	ltm	-160.0	131.125	-0.4835112120126747	0.6368459892230236	2.130965022566206	-0.20917230530219852	-0.4457388662885248
1	1.0	ltm	-140.0	131.125	-0.5126009875066617	0.6376756308404962	2.130965022566206	-0.22398544436632917	-0.4773051475085963
2	1.0	ltm	-120.0	131.125	-0.42113546217071673	0.6465811613206935	2.130965022566206	-0.174399190971181	-0.3716385759234308
3	1.0	ltm	-100.0	131.125	-0.4077464093791042	0.6312902970287103	2.130965022566206	-0.17145780466106134	-0.3653705845787107
4	1.0	ltm	-80.0	131.125	-0.42806661241427835	0.6253510152910557	2.130965022566206	-0.17722261362741226	-0.3776551908477806
5	1.0	ltm	-60.0	131.125	-0.4556648775298157	0.637403134930148	2.130965022566206	-0.187123295305582	-0.39875319720352237
6	1.0	ltm	-40.0	131.125	-0.3815456183666486	0.6415459200940484	2.130965022566206	-0.151454250165429	-0.3227437096215212
7	1.0	ltm	-20.0	131.125	-0.252406683947898	0.6344773492827058	2.130965022566206	-0.09861958414049583	-0.21015488434342156
8	1.0	ltm	0.0	131.125	-0.22148975472846166	0.635429539717902	2.130965022566206	-0.09054703392749086	-0.1929525621965986
9	1.0	ltm	20.0	131.125	-0.24484889271990018	0.6320589220979764	2.130965022566206	-0.09475861933266697	-0.20192730338457918
10	1.0	ltm	40.0	131.125	-0.4089541781351875	0.644497949708701	2.130965022566206	-0.16550130908576596	-0.3526775008506859
11	1.0	ltm	60.0	131.125	-0.4785608981044014	0.6355104772423347	2.130965022566206	-0.20463681690307817	-0.43607389914974454
12	1.0	ltm	80.0	131.125	-0.4449012028433148	0.6352686200342269	2.130965022566206	-0.18338223484349078	-0.39078112821150063
13	1.0	ltm	100.0	131.125	-0.44232009044556064	0.6325807717106738	2.130965022566206	-0.1893960484365826	-0.40359635463061244
14	1.0	ltm	120.0	131.125	-0.48870606649339293	0.6348665078203747	2.130965022566206	-0.21025818382950093	-0.44805283544896196
15	1.0	ltm	140.0	131.125	-0.48729002720333536	0.6420158667758481	2.130965022566206	-0.20485752809749286	-0.43654422698513107
16	1.0	ltm	160.0	131.125	-0.42922526045172504	0.6261312579035058	2.130965022566206	-0.18048316749682158	-0.38460331709768475
17	1.0	ltm	180.0	131.125	-0.4310537825595474	0.6323607047402517	2.130965022566206	-0.1879393018174981	-0.40049207853860186
18	1.0	perception	-160.0	131.125	-0.536438883094015	0.6312404438313205	2.414369572643416	-0.2140354293610797	-0.51676062811706
19	1.0	perception	-140.0	131.125	-0.5121992083386998	0.6403105994175642	2.414369572643416	-0.2066801805817504	-0.49900233926502474
20	1.0	perception	-120.0	131.125	-0.4759967734020286	0.6343356398282124	2.414369572643416	-0.18782485265808452	-0.4534786092439121
21	1.0	perception	-100.0	131.125	-0.4828095143183353	0.6343175731296298	2.414369572643416	-0.19123059793015365	-0.46170133700097
22	1.0	perception	-80.0	131.125	-0.5805443768027942	0.643479519551172	2.414369572643416	-0.2307317527512771	-0.5570717232853672
23	1.0	perception	-60.0	131.125	-0.5543949360527514	0.6357681609112724	2.414369572643416	-0.21628403190933007	-0.5221895856905242
24	1.0	perception	-40.0	131.125	-0.4971559266805355	0.6304203506559435	2.414369572643416	-0.196933317811991	-0.47546981036498676
25	1.0	perception	-20.0	131.125	-0.048695265828107084	0.6408149989199877	2.414369572643416	-0.005634938394710465	-0.013604823803909082
26	1.0	perception	0.0	131.125	0.47246924501002585	0.6338828193434678	2.414369572643416	0.20900607062920717	0.5046178974249186
27	1.0	perception	20.0	131.125	-0.13325379205912352	0.6387625073970699	2.414369572643416	-0.051097773926421404	-0.12336891059776393
28	1.0	perception	40.0	131.125	-0.4547926681349323	0.6345955572550755	2.414369572643416	-0.17900501720906953	-0.43218426690008854
29	1.0	perception	60.0	131.125	-0.5419412381701223	0.6315914627129273	2.414369572643416	-0.21799693421021787	-0.5263251648866986
30	1.0	perception	80.0	131.125	-0.5438463039165083	0.637155307124383	2.414369572643416	-0.21915127169448673	-0.5291121621852791
31	1.0	perception	100.0	131.125	-0.47114952374860886	0.6351372585348383	2.414369572643416	-0.1892421239203822	-0.45690042585578555
32	1.0	perception	120.0	131.125	-0.47478608421245216	0.6295958656175247	2.414369572643416	-0.1837841853372098	-0.4437229450112176
33	1.0	perception	140.0	131.125	-0.5500785351789894	0.6390620791841939	2.414369572643416	-0.2251203453959256	-0.5435237121068991
34	1.0	perception	160.0	131.125	-0.5051420655926547	0.6436579139784985	2.414369572643416	-0.2043128024875068	-0.49328661362734044
35	1.0	perception	180.0	131.125	-0.49374647232786434	0.6279478811146444	2.414369572643416	-0.1983726930365319	-0.4789449941107351
36	1.0	wm	-160.0	131.125	-0.49188658294515997	0.636954743333426	2.276938782368008	-0.19511389837166418	-0.4442624021814523
37	1.0	wm	-140.0	131.125	-0.5216627118940175	0.6382997494088397	2.276938782368008	-0.21328264452624643	-0.48563152492782025
38	1.0	wm	-120.0	131.125	-0.4217616354158701	0.6394574074279308	2.276938782368008	-0.16442921582340622	-0.37439525846267296
39	1.0	wm	-100.0	131.125	-0.44467366975860756	0.6331958675224229	2.276938782368008	-0.1696609995372799	-0.38630770970175327
40	1.0	wm	-80.0	131.125	-0.5209079493015653	0.6451672793194266	2.276938782368008	-0.2021211209086825	-0.4602174189326725
41	1.0	wm	-60.0	131.125	-0.4836054125709991	0.6251065397940158	2.276938782368008	-0.19480222706557687	-0.4435527456972708
42	1.0	wm	-40.0	131.125	-0.40362461127003835	0.6431591402875698	2.276938782368008	-0.15702105585107196	-0.35752733171567874
43	1.0	wm	-20.0	131.125	-0.26622797821168925	0.6316208623970885	2.276938782368008	-0.09605599210744922	-0.21871361370828643
44	1.0	wm	0.0	131.125	-0.19673468285067733	0.6302721869515641	2.276938782368008	-0.06312571663767777	-0.14373339237710192
45	1.0	wm	20.0	131.125	-0.26435108033110444	0.6417015972229162	2.276938782368008	-0.09522986435295447	-0.21683257138488674
46	1.0	wm	40.0	131.125	-0.382224810048643	0.6335519531783511	2.276938782368008	-0.14482917919926142	-0.3297671749373243
47	1.0	wm	60.0	131.125	-0.49069881627434575	0.6330037906377242	2.276938782368008	-0.19509666831800748	-0.4442231704040591
48	1.0	wm	80.0	131.125	-0.5081666381169987	0.6412930965468074	2.276938782368008	-0.20034449977730576	-0.45617216137706623
49	1.0	wm	100.0	131.125	-0.5088750131710819	0.6393559111276537	2.276938782368008	-0.19751068234162583	-0.4497197325556159
50	1.0	wm	120.0	131.125	-0.4505458001353532	0.6259318074338719	2.276938782368008	-0.18311464437896235	-0.41694083540598537
51	1.0	wm	140.0	131.125	-0.5539766978609559	0.6415859346608367	2.276938782368008	-0.2247854169775063	-0.5118226336268482
52	1.0	wm	160.0	131.125	-0.5288610410951345	0.635321406203363	2.276938782368008	-0.22148234894527358	-0.5043017499234574
53	1.0	wm	180.0	131.125	-0.4937822258309451	0.6299250633095783	2.276938782368008	-0.20196676548183295	-0.45986596107500977
54	2.0	ltm	-160.0	131.125	-0.2543161233396041	0.653116512670543	1.3442384524574589	-0.19841858702051732	-0.26672189435525584
55	2.0	ltm	-140.0	131.125	-0.26846284975228907	0.6507070874705457	1.3442384524574589	-0.20715574605619858	-0.27846671949625473
56	2.0	ltm	-120.0	131.125	-0.22345419668986186	0.6426538338283689	1.3442384524574589	-0.1778007837212616	-0.23900665035519203
57	2.0	ltm	-100.0	131.125	-0.26889894064832975	0.6511445486577756	1.3442384524574589	-0.21403366906661594	-0.2877122880798997
58	2.0	ltm	-80.0	131.125	-0.26777071147741643	0.6451880325532691	1.3442384524574589	-0.2156851348489882	-0.28993225188748223
59	2.0	ltm	-60.0	131.125	-0.21014464354048884	0.6494516082141562	1.3442384524574589	-0.17325984698562222	-0.23290254858496892
60	2.0	ltm	-40.0	131.125	-0.1064816377715006	0.6449170945254223	1.3442384524574589	-0.09271859259160406	-0.12463589741937145
61	2.0	ltm	-20.0	131.125	-0.0026567672847345597	0.650094090716501	1.3442384524574589	-0.011604260113073469	-0.015598892656311697
62	2.0	ltm	0.0	131.125	0.109404438718663	0.6477340581097814	1.3442384524574589	0.07842262670915233	0.10541871036515991
63	2.0	ltm	20.0	131.125	-0.020310915602572636	0.6409862105566564	1.3442384524574589	-0.021263990277836396	-0.02858387338414925
64	2.0	ltm	40.0	131.125	-0.12142380222530617	0.6536837128701205	1.3442384524574589	-0.09568436882023101	-0.12862260786727606
65	2.0	ltm	60.0	131.125	-0.24411636159147232	0.6499295518988114	1.3442384524574589	-0.19276617627435405	-0.25912370648117944
66	2.0	ltm	80.0	131.125	-0.30108018367517503	0.6459742407455809	1.3442384524574589	-0.2363394633141858	-0.31769659442008746
67	2.0	ltm	100.0	131.125	-0.26202354286019963	0.6445691888995648	1.3442384524574589	-0.21646010024904938	-0.29097399017756853
68	2.0	ltm	120.0	131.125	-0.20811598575730375	0.6504591755155551	1.3442384524574589	-0.16606805704337982	-0.2232350680026099
69	2.0	ltm	140.0	131.125	-0.2548801184116608	0.6489582151126129	1.3442384524574589	-0.19996370489323662	-0.2687989012133444
70	2.0	ltm	160.0	131.125	-0.26911829697660394	0.6458221428890502	1.3442384524574589	-0.2184438342321689	-0.2936406016771244
71	2.0	ltm	180.0	131.125	-0.23304216192086674	0.6406417120873682	1.3442384524574589	-0.1841519808162843	-0.24754417370945767
72	2.0	perception	-160.0	131.125	-0.3139455145771134	0.6397121940996117	1.9299489596450792	-0.16533236661557185	-0.3190830289453817
73	2.0	perception	-140.0	131.125	-0.4023644669553932	0.6542089315777746	1.9299489596450792	-0.21414819470815888	-0.4132950855868831
74	2.0	perception	-120.0	131.125	-0.31836129788594536	0.6466091093966113	1.9299489596450792	-0.1699743563825014	-0.32804183226675054
75	2.0	perception	-100.0	131.125	-0.37045726801398093	0.6496900753502639	1.9299489596450792	-0.19418676760786177	-0.37477055012163357
76	2.0	perception	-80.0	131.125	-0.4383075809419863	0.6457796772112155	1.9299489596450792	-0.23075666845554854	-0.4453485922169504
77	2.0	perception	-60.0	131.125	-0.4232909724205401	0.6479766029037285	1.9299489596450792	-0.22788331252457203	-0.43980316192727226
78	2.0	perception	-40.0	131.125	-0.1906731393791694	0.6470557724351136	1.9299489596450792	-0.10000878665578729	-0.19301185376170335
79	2.0	perception	-20.0	131.125	0.3714813673702596	0.6507333629821972	1.9299489596450792	0.19113939809195551	0.36888928249475617
80	2.0	perception	0.0	131.125	0.8077647604094962	0.6450098311569743	1.9299489596450792	0.4176319860989082	0.806008417086096
81	2.0	perception	20.0	131.125	0.28417631559378315	0.6461629085713477	1.9299489596450792	0.14536075860968847	0.28053884485198777
82	2.0	perception	40.0	131.125	-0.2572155198753553	0.6444604652687176	1.9299489596450792	-0.13625122709097356	-0.26295791397458984
83	2.0	perception	60.0	131.125	-0.39565371500601704	0.6469452033011083	1.9299489596450792	-0.21040696276898527	-0.406074698898084
84	2.0	perception	80.0	131.125	-0.4306727493130973	0.6525356530240707	1.9299489596450792	-0.23060395863199518	-0.445053870051856
85	2.0	perception	100.0	131.125	-0.2896160492885893	0.6495073613286312	1.9299489596450792	-0.1529277876429272	-0.2951428246622909
86	2.0	perception	120.0	131.125	-0.3315372186466922	0.6455477325975559	1.9299489596450792	-0.17396260630707766	-0.33573895105949103
87	2.0	perception	140.0	131.125	-0.3586936831512212	0.6410998253482044	1.9299489596450792	-0.1874488360581928	-0.3617666861371902
88	2.0	perception	160.0	131.125	-0.2882753767953344	0.6497688789712319	1.9299489596450792	-0.1515929109104062	-0.2925665807011076
89	2.0	perception	180.0	131.125	-0.2620185578922723	0.6515133963934735	1.9299489596450792	-0.14186308670768338	-0.2737885166035332
90	2.0	wm	-160.0	131.125	-0.3108459050767873	0.6492926142022284	1.5053288260191113	-0.21370754814541332	-0.32170013256115776
91	2.0	wm	-140.0	131.125	-0.33651296015944954	0.6490781329467159	1.5053288260191113	-0.23035244757296458	-0.34675617947563964
92	2.0	wm	-120.0	131.125	-0.273595171511907	0.6470047251265825	1.5053288260191113	-0.19109334990899962	-0.28765832807857367
93	2.0	wm	-100.0	131.125	-0.3244043262199215	0.6492188595093681	1.5053288260191113	-0.22652037277961007	-0.3409876468257419
94	2.0	wm	-80.0	131.125	-0.30639299995636476	0.6507319948736796	1.5053288260191113	-0.21201993110243517	-0.3191597139790816
95	2.0	wm	-60.0	131.125	-0.27693307672008033	0.6456292616963258	1.5053288260191113	-0.19674441679823487	-0.2961650419647016
96	2.0	wm	-40.0	131.125	-0.18586600183642624	0.6463017719400568	1.5053288260191113	-0.13315162327697663	-0.20043697675007022
97	2.0	wm	-20.0	131.125	-0.006847476197392174	0.6456608233506567	1.5053288260191113	-0.0013102966083386978	-0.0019724272551673153
98	2.0	wm	0.0	131.125	0.08141579322492726	0.6481205700323481	1.5053288260191113	0.06097494641974251	0.0917873445106092
99	2.0	wm	20.0	131.125	-0.001321377123225569	0.6505371702074665	1.5053288260191113	0.008386691710902953	0.012624728787357754
100	2.0	wm	40.0	131.125	-0.13663129306290617	0.6494353139077698	1.5053288260191113	-0.09257885084098255	-0.13936161285065468
101	2.0	wm	60.0	131.125	-0.30847929148229525	0.64351060307748	1.5053288260191113	-0.20959032077727127	-0.31550235152061873
102	2.0	wm	80.0	131.125	-0.3285896942304074	0.6505976048871279	1.5053288260191113	-0.22604919765264309	-0.34027837332501526
103	2.0	wm	100.0	131.125	-0.25470591500923656	0.6487675381790625	1.5053288260191113	-0.17783435744921877	-0.2676991845248955
104	2.0	wm	120.0	131.125	-0.2308256164229546	0.6493210973580656	1.5053288260191113	-0.1605116180480315	-0.24162276555867124
105	2.0	wm	140.0	131.125	-0.2734715402640838	0.6480453169541877	1.5053288260191113	-0.18446411000116816	-0.2776791421507187
106	2.0	wm	160.0	131.125	-0.29438884253195985	0.647442821218625	1.5053288260191113	-0.2018179877588196	-0.30380243458252326
107	2.0	wm	180.0	131.125	-0.2229591741763538	0.642018658043741	1.5053288260191113	-0.1503411062272291	-0.22631280093944928
108	3.0	ltm	-160.0	131.125	-0.18981775905646894	0.6600315060822498	1.055658251431734	-0.1325572227040316	-0.13993512593438498
109	3.0	ltm	-140.0	131.125	-0.22820695234001223	0.6512082127085866	1.055658251431734	-0.20084510475914463	-0.21202379209866207
110	3.0	ltm	-120.0	131.125	-0.22174123219984893	0.6559661742722687	1.055658251431734	-0.18999768788409926	-0.2005726269678006
111	3.0	ltm	-100.0	131.125	-0.21241069417852754	0.6491061362836987	1.055658251431734	-0.1798868515689798	-0.1898990391828691
112	3.0	ltm	-80.0	131.125	-0.2241894854919553	0.6557212497317079	1.055658251431734	-0.20088102672613675	-0.21206171341952496
113	3.0	ltm	-60.0	131.125	-0.17538775866997067	0.6605776450958227	1.055658251431734	-0.18015250617274386	-0.19017947965736348
114	3.0	ltm	-40.0	131.125	-0.010949551335860733	0.6505496375335114	1.055658251431734	-0.025154783326553264	-0.026554854581653357
115	3.0	ltm	-20.0	131.125	0.07555810452849157	0.6505298424767565	1.055658251431734	0.057343992721019935	0.060535659085985995
116	3.0	ltm	0.0	131.125	0.1343274556997213	0.6613435711085079	1.055658251431734	0.13036222728146477	0.13761796090469738
117	3.0	ltm	20.0	131.125	0.10254010372704846	0.6423391580148938	1.055658251431734	0.11026645476518872	0.11640369282899553
118	3.0	ltm	40.0	131.125	-0.035025244238400186	0.6607918220406475	1.055658251431734	-0.01887475497282546	-0.019925290830815352
119	3.0	ltm	60.0	131.125	-0.22296086284635092	0.6552813105706785	1.055658251431734	-0.2129412886516342	-0.22479322843560431
120	3.0	ltm	80.0	131.125	-0.279807364000159	0.6511851740290714	1.055658251431734	-0.2551174375124203	-0.2693168279941063
121	3.0	ltm	100.0	131.125	-0.21435851630958136	0.6523367991803936	1.055658251431734	-0.18967213946499623	-0.20022895909293392
122	3.0	ltm	120.0	131.125	-0.21171842532337454	0.6594688442334717	1.055658251431734	-0.18805894619833877	-0.19852597830983285
123	3.0	ltm	140.0	131.125	-0.2255670991207856	0.6499390325363817	1.055658251431734	-0.20784700843514362	-0.2194154094899606
124	3.0	ltm	160.0	131.125	-0.23728440592311795	0.6522539921247236	1.055658251431734	-0.2234664790199001	-0.23590423249575404
125	3.0	ltm	180.0	131.125	-0.1873417188938083	0.6480228997392377	1.055658251431734	-0.1733373630027745	-0.18298501753529667
126	3.0	perception	-160.0	131.125	-0.34795031065005555	0.6504333141089768	2.0465339641329767	-0.16241930795247142	-0.33239663015570603
127	3.0	perception	-140.0	131.125	-0.3605035356430421	0.6525170092260055	2.0465339641329767	-0.16935547300974485	-0.34659172752624845
128	3.0	perception	-120.0	131.125	-0.373823234195044	0.6584220609930518	2.0465339641329767	-0.17831293278450372	-0.36492347318764745
129	3.0	perception	-100.0	131.125	-0.4188328773304275	0.6502476074847979	2.0465339641329767	-0.1930640239728683	-0.3951120823126582
130	3.0	perception	-80.0	131.125	-0.4337827851199693	0.6562689427778898	2.0465339641329767	-0.20852940519300642	-0.42676251024793516
131	3.0	perception	-60.0	131.125	-0.34071289730964016	0.6507658587490714	2.0465339641329767	-0.16813912585957744	-0.3441024317712545
132	3.0	perception	-40.0	131.125	0.05564321112422	0.6554725027934514	2.0465339641329767	0.02476529267686488	0.050683012594897665
133	3.0	perception	-20.0	131.125	0.696593062556684	0.6556733879939367	2.0465339641329767	0.3482848001536816	0.7127766727057755
134	3.0	perception	0.0	131.125	0.9668731222540297	0.6524096281197913	2.0465339641329767	0.489949904800284	1.0026991208974998
135	3.0	perception	20.0	131.125	0.5713343009830905	0.656594412968203	2.0465339641329767	0.2916985465800889	0.5969709828643771
136	3.0	perception	40.0	131.125	0.026930253572828015	0.6516257864118724	2.0465339641329767	0.019262632211725438	0.03942163105989803
137	3.0	perception	60.0	131.125	-0.3023628395912958	0.647714971885299	2.0465339641329767	-0.14133756430319822	-0.28925212575432374
138	3.0	perception	80.0	131.125	-0.4258902983963113	0.658405797824593	2.0465339641329767	-0.19919768718905367	-0.4076648324091347
139	3.0	perception	100.0	131.125	-0.3912804609116033	0.6549502658323698	2.0465339641329767	-0.1829692224011866	-0.37445272803502866
140	3.0	perception	120.0	131.125	-0.39072049358518757	0.6493647386919833	2.0465339641329767	-0.18270071129774226	-0.373903210942083
141	3.0	perception	140.0	131.125	-0.39080356298610847	0.6557327653225112	2.0465339641329767	-0.18162447702177242	-0.3717006609429467
142	3.0	perception	160.0	131.125	-0.36078178012772494	0.6496266331668812	2.0465339641329767	-0.164017396014357	-0.3356671716520303
143	3.0	perception	180.0	131.125	-0.3256392734101758	0.6639660529100646	2.0465339641329767	-0.14958160619270489	-0.30612383748293415
144	3.0	wm	-160.0	131.125	-0.2480569416832339	0.6534296614694918	1.1928532821273583	-0.18929664804981722	-0.22580312792193186
145	3.0	wm	-140.0	131.125	-0.2610121994175575	0.6572542787411272	1.1928532821273583	-0.2142883718533736	-0.2556145876870245
146	3.0	wm	-120.0	131.125	-0.2714242616224378	0.6576667080561298	1.1928532821273583	-0.22580467465284848	-0.26935184727935063
147	3.0	wm	-100.0	131.125	-0.2931408458367011	0.6525732367079429	1.1928532821273583	-0.2271081898042709	-0.27090674960602756
148	3.0	wm	-80.0	131.125	-0.2559300684994768	0.6535553628980167	1.1928532821273583	-0.20788489255778053	-0.24797617639224176
149	3.0	wm	-60.0	131.125	-0.2062400527937464	0.6520960866948945	1.1928532821273583	-0.17507610242001562	-0.20884010339378117
150	3.0	wm	-40.0	131.125	-0.07051693857023254	0.6530916013007465	1.1928532821273583	-0.05248827120645279	-0.06261080658180812
151	3.0	wm	-20.0	131.125	0.08835386682262403	0.6488335418331427	1.1928532821273583	0.09434725735967214	0.11254243560119948
152	3.0	wm	0.0	131.125	0.14918585950606678	0.6566126019656106	1.1928532821273583	0.14155816160043294	0.1688581176769914
153	3.0	wm	20.0	131.125	0.020286652692583777	0.6555279267094325	1.1928532821273583	0.03940745656213265	0.04700731390043124
154	3.0	wm	40.0	131.125	-0.0926084382249436	0.6588306541154867	1.1928532821273583	-0.07483966583625658	-0.08927274102609338
155	3.0	wm	60.0	131.125	-0.27006938411852077	0.6490880670069328	1.1928532821273583	-0.2177728413137331	-0.2597710485192869
156	3.0	wm	80.0	131.125	-0.2818359276124134	0.6542866486842519	1.1928532821273583	-0.2173570988625323	-0.2592751287718523
157	3.0	wm	100.0	131.125	-0.2565494418293569	0.6531493046592713	1.1928532821273583	-0.20283427173185317	-0.24195152676325352
158	3.0	wm	120.0	131.125	-0.21939138929833615	0.653942551247016	1.1928532821273583	-0.17617887864106696	-0.21015555362851426
159	3.0	wm	140.0	131.125	-0.26190300207280437	0.6559818478350484	1.1928532821273583	-0.21077832097002047	-0.2514276119703827
160	3.0	wm	160.0	131.125	-0.23983920812512977	0.6500193623972331	1.1928532821273583	-0.1956684729760932	-0.23340378019838107
161	3.0	wm	180.0	131.125	-0.1972797962679884	0.6535515342976694	1.1928532821273583	-0.14006160678470841	-0.1670729473531709
162	4.0	ltm	-160.0	131.125	-0.3810989266579339	0.702887889140386	1.5573577543611965	-0.18971627746344744	-0.29545611583624015
163	4.0	ltm	-140.0	131.125	-0.36954543321252376	0.6987379679378606	1.5573577543611965	-0.19286158187111238	-0.3003544800453436
164	4.0	ltm	-120.0	131.125	-0.3844749217434507	0.7050467008558184	1.5573577543611965	-0.20503431418063356	-0.3193117790993395
165	4.0	ltm	-100.0	131.125	-0.3607579046206178	0.7066940037581807	1.5573577543611965	-0.20701683883084215	-0.3223992792365541
166	4.0	ltm	-80.0	131.125	-0.3822098824995512	0.6993051899877477	1.5573577543611965	-0.22669577339791136	-0.3530464205821459
167	4.0	ltm	-60.0	131.125	-0.28952049818218906	0.7022065475531778	1.5573577543611965	-0.1595140343183385	-0.24842041827510247
168	4.0	ltm	-40.0	131.125	-0.13116606517030005	0.7000872101745854	1.5573577543611965	-0.06170652471911295	-0.0960991347659914
169	4.0	ltm	-20.0	131.125	-0.039336737859440044	0.7037781881467782	1.5573577543611965	0.010623735074600425	0.016544956198707998
170	4.0	ltm	0.0	131.125	-0.05908614484925931	0.7033802500712341	1.5573577543611965	-0.011544826816203712	-0.017979425564971934
171	4.0	ltm	20.0	131.125	-0.10685668100475369	0.6994051733746348	1.5573577543611965	-0.04958630471726847	-0.07722361616155524
172	4.0	ltm	40.0	131.125	-0.19117463539870672	0.7014230749719254	1.5573577543611965	-0.10963449161513607	-0.17074012566227972
173	4.0	ltm	60.0	131.125	-0.34997453588644317	0.7000117925302436	1.5573577543611965	-0.2218482981383517	-0.3454971673975966
174	4.0	ltm	80.0	131.125	-0.3821184779658161	0.7085947412799001	1.5573577543611965	-0.2332133711952804	-0.36319665205168605
175	4.0	ltm	100.0	131.125	-0.34936441303881777	0.6991418925995028	1.5573577543611965	-0.19773547672957148	-0.30794487799710607
176	4.0	ltm	120.0	131.125	-0.36777591581784586	0.7021610858616851	1.5573577543611965	-0.21875934700231228	-0.3406865653930428
177	4.0	ltm	140.0	131.125	-0.4152793090735139	0.7038167810018368	1.5573577543611965	-0.23135447016841187	-0.36030167812290237
178	4.0	ltm	160.0	131.125	-0.3745477935625859	0.7019840040026459	1.5573577543611965	-0.19176193859689256	-0.2986419420652062
179	4.0	ltm	180.0	131.125	-0.35821345439183516	0.702829352780102	1.5573577543611965	-0.16804915289072486	-0.26171265136820065
180	4.0	perception	-160.0	131.125	-0.5220737506549936	0.7049676740136125	2.190642658512324	-0.22569377483549308	-0.49441441091530647
181	4.0	perception	-140.0	131.125	-0.5238162218168174	0.7005490517629371	2.190642658512324	-0.23247202520984778	-0.509263135335445
182	4.0	perception	-120.0	131.125	-0.579703772057281	0.701204758119538	2.190642658512324	-0.25569607867314753	-0.5601387375557203
183	4.0	perception	-100.0	131.125	-0.5414345068710846	0.7020940614281176	2.190642658512324	-0.23869903651846186	-0.5229042919431337
184	4.0	perception	-80.0	131.125	-0.43069280916441977	0.7032436051027487	2.190642658512324	-0.18476854510193333	-0.4047618568515535
185	4.0	perception	-60.0	131.125	-0.22988748045308505	0.7043739346957979	2.190642658512324	-0.09648460648690445	-0.2113632948599878
186	4.0	perception	-40.0	131.125	0.11259435272615446	0.7023935334638544	2.190642658512324	0.05831437476740764	0.12774595696995786
187	4.0	perception	-20.0	131.125	0.5874657494770257	0.7015473800441099	2.190642658512324	0.2866262305182391	0.6278956476218416
188	4.0	perception	0.0	131.125	0.5884195694299603	0.6979487123963075	2.190642658512324	0.289585690772708	0.634378767501453
